分组,队伍,号码,姓名,英文名,位置,出生日期,7m球员ID,备注
G,埃及,14,哈姆迪·法蒂,Hamdi Fathy,中场,1994-9-29,,
G,埃及,17,穆哈纳德·拉辛,Mohanad Lasheen,中场,1996-5-29,,
G,埃及,18,纳比勒·阿马德,Nabil Emad,中场,1996-4-6,,
G,埃及,19,阿特亚,Marwan Ateya,中场,1998-8-12,,
G,埃及,21,马哈茂德·萨贝尔,Mahmoud Saber Abdelmohsen,中场,2001-7-30,,
G,埃及,24,塔雷克·阿拉,Tarek Alaa,中场,2003-1-1,,
G,埃及,7,穆罕默德·特雷泽盖,,前锋,1994-10-1,,
G,埃及,9,阿布德卡拉姆,Hamza Abdelkarim,前锋,2008-1-1,,
G,埃及,10,萨拉赫,Mohamed Salah Ghaly,前锋,1992-6-15,,
G,埃及,11,穆斯塔菲·济科,Mostafa Ziko,前锋,1997-4-27,,
G,埃及,12,海瑟姆·哈桑,Haissem Hassan,前锋,2002-2-8,,
G,埃及,20,易卜拉欣·阿代勒,Ibrahim Adel,前锋,2001-4-23,,
G,埃及,22,奥马尔·马尔穆什,Omar Marmoush,前锋,1999-2-7,,
G,埃及,25,齐佐,,前锋,1996-1-10,,
G,埃及,1,希纳维,Mohamed El Shenawy,守门员,1988-12-18,,
G,埃及,16,马赫迪·苏莱曼,El Mahdi Soliman,守门员,1987-6-8,,
G,埃及,23,乌法·肖贝尔,Oufa Shobeir,守门员,2000-3-17,,
G,埃及,26,穆罕默德·阿拉,Mohamed Alaa,守门员,1999-9-1,,
G,新西兰,2,蒂莫西·佩恩,Timothy Payne,后卫,1994-1-10,,
G,新西兰,3,德弗雷斯,Francis De Vries,后卫,1994-11-28,,
G,新西兰,4,泰勒·宾登,Tyler Bindon,后卫,2005-1-27,,
G,新西兰,5,博克索尔,Michael Boxall,后卫,1988-8-18,,
G,新西兰,13,利伯拉托·卡卡切,Liberato Gianpaolo Cacace,后卫,2000-9-27,,
G,新西兰,15,麦克加里,,后卫,1998-4-9,,
G,新西兰,16,芬恩·瑟曼,Finn Surman,后卫,2003-9-23,,
G,新西兰,24,卡兰·埃利奥特,Callan Elliot,后卫,1999-7-7,,
G,新西兰,26,汤米·史密斯,Tommy Smith,后卫,1990-3-31,,
G,新西兰,6,乔·贝尔,Joe Zen Robert Bell,中场,1999-4-27,,
G,新西兰,7,马修·加贝特,Matthew Garbett,中场,2002-4-13,,
G,新西兰,8,马尔科·斯塔梅尼奇,Marko Stamenic,中场,2002-2-19,,
G,新西兰,10,萨尔佩特·辛格,Sarpreet Singh,中场,1999-2-20,,
G,新西兰,14,亚历克斯·鲁费尔,Alex Rufer,中场,1996-6-12,,
G,新西兰,19,本·奥德,Ben Old,中场,2002-8-13,,
G,新西兰,20,卡伦·麦克柯沃特,,中场,1999-4-30,,
G,新西兰,23,瑞安·托马斯,Ryan Thomas,中场,1994-12-20,,
G,新西兰,25,拉克兰·贝利斯,Lachlan Bayliss,中场,2004-7-24,,
G,新西兰,9,克里斯·伍德,Christopher Grant Wood,前锋,1991-12-7,,
G,新西兰,11,贾斯特,Elijah Just,前锋,2000-5-1,,
G,新西兰,17,科斯塔·巴巴鲁塞斯,Kosta Barbarouses,前锋,1990-2-19,,
G,新西兰,18,本·韦恩,Ben Waine,前锋,2001-6-11,,
G,新西兰,21,杰西·兰德尔,Jesse Randall,前锋,2002-8-19,,
G,新西兰,1,克罗科姆,Max Crocombe,守门员,1993-8-12,,
G,新西兰,12,阿列谢·保尔森,Alex Paulsen,守门员,2002-7-4,,
G,新西兰,22,迈克尔·沃德,Michael Woud,守门员,1999-1-16,,
G,比利时,2,泽诺·德巴斯特,Zeno Koen Debast,后卫,2003-10-24,,
G,比利时,3,泰亚特,Arthur Theate,后卫,2000-5-25,,
G,比利时,4,布兰登·梅切勒,Brandon Mechele,后卫,1993-1-28,,
G,比利时,5,马克西姆·德库耶佩,,后卫,2000-12-22,,
G,比利时,15,穆尼耶,Thomas Meunier,后卫,1991-9-12,,
G,比利时,16,科尼·德温特,,后卫,2002-6-12,,
G,比利时,18,华金·塞斯,Joaquin Seys,后卫,2005-3-28,,
G,比利时,21,卡斯塔涅,Timothy Castagne,后卫,1995-12-5,,
G,比利时,25,内森·恩戈伊,Nathan Ngoy,后卫,2003-6-10,,
G,比利时,6,维特塞尔,Axel Witsel,中场,1989-1-12,,
G,比利时,7,德布劳内,Kevin De Bruyne,中场,1991-6-28,,
G,比利时,8,蒂莱曼斯,Youri Tielemans,中场,1997-5-7,,
G,比利时,17,德凯特拉雷,Charles De Ketelaere,中场,2001-3-10,,
G,比利时,19,迭戈·莫雷拉,Diego Moreira,中场,2004-8-6,,
G,比利时,20,瓦纳肯,Hans Vanaken,中场,1992-8-24,,
G,比利时,22,萨勒马科尔斯,Alexis Saelemaekers,中场,1999-6-27,,
G,比利时,23,尼古拉斯·拉斯金,Nicolas Thierry Raskin,中场,2001-2-23,,
G,比利时,24,阿马杜·奥纳纳,Amadou Onana,中场,2001-8-16,,
G,比利时,9,卢卡库,Romelu Lukaku,前锋,1993-5-13,,
G,比利时,10,特罗萨德,Leandro Trossard,前锋,1994-12-4,,
G,比利时,11,多库,Jeremy Doku,前锋,2002-5-27,,
G,比利时,14,卢克巴基奥,Dodi Lukebakio Ngandoli,前锋,1997-9-24,,
G,比利时,26,马蒂亚斯·费尔南德斯,,前锋,2005-2-3,,
G,比利时,1,库尔图瓦,Thibaut Nicolas Marc Courtois,守门员,1992-5-11,,
G,比利时,12,拉门斯,Senne Lammens,守门员,2002-7-7,,
G,比利时,13,迈克·彭德斯,Mike Penders,守门员,2005-7-31,,
H,乌拉圭,2,吉梅内斯,,后卫,1995-1-20,,
H,乌拉圭,3,塞巴斯蒂安·卡塞雷斯,Sebastian Enzo Caceres Ramos,后卫,1999-8-18,,
H,乌拉圭,4,罗纳德·阿劳霍,,后卫,1999-3-7,,
H,乌拉圭,13,吉列尔莫·瓦雷拉,Guillermo Varela Olivera,后卫,1993-3-24,,
H,乌拉圭,16,马蒂亚斯·奥利韦拉,,后卫,1997-10-31,,
H,乌拉圭,17,马蒂亚斯·比尼亚,Matias Nicolas Vina Susperreguy,后卫,1997-11-9,,
H,乌拉圭,22,华金·皮克雷斯,Joaquin Piquerez Moreira,后卫,1998-8-24,,
H,乌拉圭,24,圣地亚哥·布埃诺,Santiago Ignacio Bueno Sciutto,后卫,1998-11-9,,
H,乌拉圭,5,曼努埃尔·乌加特,Manuel Ugarte Ribeiro,中场,2001-4-11,,
H,乌拉圭,6,本坦库尔,Rodrigo Bentancur Colman,中场,1997-6-25,,
H,乌拉圭,7,德拉科鲁兹,Diego Nicolas De La Cruz Arcosa,中场,1997-6-1,,
H,乌拉圭,8,巴尔韦德,Santiago Federico Valverde Dipetta,中场,1998-7-22,,
H,乌拉圭,10,德阿拉斯凯塔,Giorgian Daniel De Arrascaeta Benedetti,中场,1994-6-1,,
H,乌拉圭,15,埃米利亚诺·马丁内斯,Emiliano Martinez Toranza,中场,1999-8-17,,
H,乌拉圭,20,阿劳霍,Maximiliano Javier Araujo Vilches,中场,2000-2-15,,
H,乌拉圭,25,胡安·萨纳夫里亚,Juan Manuel Sanabria,中场,2000-3-29,,
H,乌拉圭,26,罗德里戈·扎拉扎尔,Rodrigo Zalazar,中场,1999-8-12,,
H,乌拉圭,9,努涅斯,Darwin Gabriel Nunez Ribeiro,前锋,1999-6-24,,
H,乌拉圭,11,法昆多·佩利斯特里,Facundo Pellistri Rebollo,前锋,2001-12-20,,
H,乌拉圭,14,奥古斯丁·卡诺比奥,Agustin Canobbio Graviz,前锋,1998-10-1,,
H,乌拉圭,18,布里安·罗德里格斯,Paul Brian Rodriguez Bravo,前锋,2000-5-20,,
H,乌拉圭,19,罗德里戈·阿吉雷,Rodrigo Sebastian Aguirre Soto,前锋,1994-10-1,,
H,乌拉圭,21,费德里科·比尼亚斯,Federico Sebastian Vinas Barboza,前锋,1998-6-30,,
H,乌拉圭,1,塞尔吉奥·罗切特,Sergio Rochet Alvarez,守门员,1993-3-23,,
H,乌拉圭,12,圣地亚哥·梅莱,Santiago Andres Mele Castanero,守门员,1997-9-6,,
H,乌拉圭,23,穆斯莱拉,Fernando Muslera,守门员,1986-6-16,,
H,佛得角,2,斯托皮拉,,后卫,1988-5-20,,
H,佛得角,3,博格斯,Edilson Alberto Monteiro Sanches Borges,后卫,1995-1-17,,
H,佛得角,4,罗伯托·洛佩斯,Roberto Lopes,后卫,1992-6-17,,
H,佛得角,5,洛根·科斯塔,Logan Costa,后卫,2001-4-1,,
H,佛得角,13,西德尼·卡布拉尔,Sidny Lopes Cabral,后卫,2002-9-18,,
H,佛得角,22,史蒂芬·莫雷拉,Steven Moreira,后卫,1994-8-13,,
H,佛得角,24,瓦格纳·皮纳,Wagner Pina,后卫,2002-11-3,,
H,佛得角,25,凯文·皮雷斯,Kelvin Pires,后卫,2000-6-5,,
H,佛得角,6,凯文·皮纳,,中场,1997-1-27,,
H,佛得角,8,若昂·保罗,Joao Paulo Moreira Fernandes,中场,1998-5-26,,
H,佛得角,10,雅米罗·蒙泰罗,Jamiro Gregory Monteiro Alvarenga,中场,1993-11-23,,
H,佛得角,14,德洛伊·杜阿尔特,Deroy Duarte,中场,1999-7-4,,
H,佛得角,15,劳罗斯·杜阿尔特,,中场,1997-2-28,,
H,佛得角,16,扬尼克·塞梅多,Yannick Semedo,中场,1995-12-29,,
H,佛得角,18,泰尔莫·阿坎霍,Telmo Arcanjo,中场,2001-6-21,,
H,佛得角,7,若瓦内·卡布拉尔,Jovane Eduardo Borges Cabral,前锋,1998-6-14,,
H,佛得角,9,吉尔森·塔瓦雷斯,Gilson Tavares,前锋,2001-12-29,,
H,佛得角,11,加里·罗德里格斯,Garry Rodrigues,前锋,1990-11-27,,
H,佛得角,17,威利·塞梅多,Willy Semedo,前锋,1994-4-27,,
H,佛得角,19,罗查·利夫拉门托,Dailon Rocha Livramento,前锋,2001-5-4,,
H,佛得角,20,瑞安·门德斯,,前锋,1990-1-8,,
H,佛得角,21,努诺·达科斯塔,,前锋,1991-2-10,,
H,佛得角,26,瓦雷拉,Helio Sandro Oliveira Alves Varela,前锋,2002-5-3,,
H,佛得角,1,沃齐尼亚,Josimar Dias Vozinha,守门员,1986-6-3,,
H,佛得角,12,马尔西奥·罗萨,Marcio Salomao Brazao Rosa,守门员,1997-2-23,,
H,佛得角,23,卡洛斯·多斯桑托斯,Carlos Joaquim Antunes Dos Santos,守门员,2000-8-24,,
H,沙特阿拉伯,2,马吉拉希,Ali Majrashi,后卫,1999-10-1,,
H,沙特阿拉伯,3,阿里·拉贾米,Ali Lajami,后卫,1996-4-24,,
H,沙特阿拉伯,4,阿卜杜拉·阿姆里,Abdulelah Al Amri,后卫,1997-1-15,,
H,沙特阿拉伯,5,哈桑·坦巴蒂,Hassan Altambakti,后卫,1999-2-9,,
H,沙特阿拉伯,12,阿卜杜勒哈米德,Saud Abdulhamid,后卫,1999-7-18,,
H,沙特阿拉伯,13,纳瓦夫·布歇尔,,后卫,1999-9-16,,
H,沙特阿拉伯,14,哈桑·卡德什,Hasan Kadesh,后卫,1992-8-1,,
H,沙特阿拉伯,24,莫泰卜·哈尔比,Moteb Al Harbi,后卫,2000-2-19,,
H,沙特阿拉伯,25,吉哈德·塔克里,Jehad Thakri,后卫,2001-7-21,,
H,沙特阿拉伯,26,穆罕默德·阿布沙马特,,后卫,2002-8-11,,
H,沙特阿拉伯,6,纳赛尔·达乌萨里,,中场,1998-12-19,,
H,沙特阿拉伯,7,穆萨卜·朱维尔,Musab Fahz Aljuwayr,中场,2003-6-20,,
H,沙特阿拉伯,8,艾曼·亚哈亚,Ayman Yahya Salem,中场,2001-5-14,,
H,沙特阿拉伯,15,阿卜杜拉·海巴里,Abdullah Al Khaibari,中场,1996-8-16,,
H,沙特阿拉伯,16,齐亚德·约哈尼,Ziyad Al Johani,中场,2001-11-11,,
H,沙特阿拉伯,18,阿拉·赫吉,,中场,1995-12-3,,
H,沙特阿拉伯,23,穆罕默德·卡努,Mohamed Kanno,中场,1994-9-22,,
H,沙特阿拉伯,9,菲尔斯·阿尔比拉坎,,前锋,2000-5-14,,
H,沙特阿拉伯,10,萨勒姆·达瓦萨里,Salem Al Dawsari,前锋,1991-8-19,,
H,沙特阿拉伯,11,萨利赫·谢赫里,,前锋,1993-11-1,,
H,沙特阿拉伯,17,哈立德·加纳姆,,前锋,2000-11-7,,
H,沙特阿拉伯,19,阿卜杜拉·哈姆丹,Abdullah Al Hamdan,前锋,1999-9-12,,
H,沙特阿拉伯,20,苏丹·曼达什,Sultan Mandash,前锋,1994-10-17,,
H,沙特阿拉伯,1,纳瓦夫·阿奇迪,,守门员,2000-5-10,,
H,沙特阿拉伯,21,穆罕默德·奥韦斯,,守门员,1991-10-10,,
H,沙特阿拉伯,22,艾哈迈德·卡萨尔,Ahmed Al Kassar,守门员,1991-5-8,,
H,西班牙,2,普比尔,Marc Pubill Pages,后卫,2003-6-20,,
H,西班牙,3,格里马尔多,Alex Grimaldo,后卫,1995-9-20,,
H,西班牙,4,埃里克·加西亚,Eric Garcia Martret,后卫,2001-1-9,,
H,西班牙,12,佩德罗·波罗,Pedro Porro,后卫,1999-9-13,,
H,西班牙,14,拉波尔特,Aymeric Laporte,后卫,1994-5-27,,
H,西班牙,22,保·库巴西,Pau Cubarsi Paredes,后卫,2007-1-22,,
H,西班牙,24,库库雷利亚,Marc Cucurella Saseta,后卫,1998-7-22,,
H,西班牙,5,马科斯·略伦特,Marcos Llorente Moreno,中场,1995-1-30,,
H,西班牙,6,梅里诺,Mikel Merino Zazon,中场,1996-6-22,,
H,西班牙,8,法维安·鲁伊斯,Fabian Ruiz Pena,中场,1996-4-3,,
H,西班牙,9,巴勃罗·加维,Pablo Martin Paez Gavira,中场,2004-8-5,,
H,西班牙,10,奥尔莫,Daniel Olmo Carvajal,中场,1998-5-7,,
H,西班牙,15,巴埃纳,Alejandro Baena Rodriguez,中场,2001-7-20,,
H,西班牙,16,罗德里·埃尔南德斯,,中场,1996-6-22,,
H,西班牙,18,苏比门迪,Martin Zubimendi Ibanez,中场,1999-2-2,,
H,西班牙,20,佩德里,,中场,2002-11-25,,
H,西班牙,7,费兰·托雷斯,Ferran Torres Garcia,前锋,2000-2-29,,
H,西班牙,11,耶雷米·皮诺,Yeremi Jesus Pino Santos,前锋,2002-10-20,,
H,西班牙,17,尼科·威廉姆斯,Nico Williams,前锋,2002-7-12,,
H,西班牙,19,拉明·亚马尔,Lamine Yamal Nasraoui Ebana,前锋,2007-7-13,,
H,西班牙,21,奥亚萨瓦尔,Mikel Oyarzabal Ugarte,前锋,1997-4-21,,
H,西班牙,25,维克多·穆尼奥斯,Victor Munoz,前锋,2003-7-13,,
H,西班牙,26,博尔哈·伊格莱西亚斯,Borja Iglesias Quintas,前锋,1993-1-17,,
H,西班牙,1,大卫·拉亚,David Raya,守门员,1995-9-15,,
H,西班牙,13,霍安·加西亚,Joan Garcia,守门员,2001-5-4,,
H,西班牙,23,乌奈·西蒙,Unai Simon Mendibil,守门员,1997-6-11,,
I,伊拉克,2,雷宾·苏拉卡,Rebin Sulaka,后卫,1992-4-12,,
I,伊拉克,3,侯赛因·阿里,Hussein Ali,后卫,2002-3-1,,
I,伊拉克,4,扎伊德·塔希恩,Zaid Tahseen,后卫,2001-1-29,,
I,伊拉克,5,阿卡姆·哈希姆,Akam Hashem,后卫,1998-8-16,,
I,伊拉克,6,马纳夫·尤尼斯,Manaf Younis,后卫,1996-11-16,,
I,伊拉克,15,艾哈迈德·叶海亚,Ahmed Yahya,后卫,1995-7-1,,
I,伊拉克,23,多斯基,Merchas Doski,后卫,1999-12-7,,
I,伊拉克,25,穆斯塔法·萨杜恩,Mustafa Saadoon,后卫,2001-5-25,,
I,伊拉克,26,弗兰斯·普特罗斯,Frans Dhia Putros,后卫,1993-7-14,,
I,伊拉克,7,优素福·阿明,Youssef Amyn,中场,2003-8-21,,
I,伊拉克,8,易卜拉欣·巴耶什,Ibraheem Bayesh,中场,2000-5-1,,
I,伊拉克,11,艾哈迈德·卡西姆,Ahmed Qasem,中场,2003-7-12,,
I,伊拉克,14,齐达内·伊克巴尔,Zidane Aamar Iqbal,中场,2003-4-27,,
I,伊拉克,16,阿米尔·阿马里,,中场,1997-7-27,,
I,伊拉克,17,阿里·贾西姆,,中场,2004-1-20,,
I,伊拉克,19,凯文·雅各布,Kevin Yakob,中场,2000-10-10,,
I,伊拉克,20,谢尔,Aimar Sher,中场,2002-12-20,,
I,伊拉克,21,马科·法吉,Marko Farji,中场,2004-3-16,,
I,伊拉克,24,扎伊德·伊斯梅尔,Zaid Ismail,中场,2002-1-3,,
I,伊拉克,9,阿里·哈马迪,,前锋,2002-3-1,,
I,伊拉克,10,穆罕默德·阿里,Muhanad Ali,前锋,2000-6-20,,
I,伊拉克,13,阿里·哈希姆,Ali Yousif Hashim,前锋,1996-1-19,,
I,伊拉克,18,艾曼·侯赛因,Aymen Hussein,前锋,1996-3-22,,
I,伊拉克,1,法哈德·塔利布,Fahad Talib Raheem,守门员,1994-10-21,,
I,伊拉克,12,贾拉尔·哈桑,Jalal Hassan Hachim,守门员,1991-5-18,,
I,伊拉克,22,艾哈迈德·巴希尔,Ahmed Basil,守门员,1996-8-19,,
I,塞内加尔,2,马马杜·萨尔,Mamadou Sarr,后卫,2005-8-29,,
I,塞内加尔,3,库利巴利,Kalidou Koulibaly,后卫,1991-6-20,,
I,塞内加尔,4,阿卜杜拉耶·塞克,Abdoulaye Seck,后卫,1992-6-4,,
I,塞内加尔,14,伊斯梅尔·雅各布斯,Ismail Jakobs,后卫,1999-8-17,,
I,塞内加尔,19,尼亚凯特,Moussa Niakhate,后卫,1996-3-8,,
I,塞内加尔,24,安托万·门迪,Antoine Mendy,后卫,2004-5-27,,
I,塞内加尔,5,盖耶,Idrissa Gana Gueye,中场,1989-9-26,,
I,塞内加尔,6,帕瑟·西塞,Pathe Ciss,中场,1994-3-16,,
I,塞内加尔,8,拉明·卡马拉,Lamine Camara,中场,2004-1-1,,
I,塞内加尔,15,克雷平·迪亚塔,Krepin Diatta,中场,1999-2-25,,
I,塞内加尔,17,帕普·萨尔,Pape Matar Sarr,中场,2002-9-14,,
I,塞内加尔,21,哈比布·迪亚拉,Habib Diarra,中场,2004-1-3,,
I,塞内加尔,22,巴拉·恩迪亚耶,Bara Sapoko Ndiaye,中场,2007-12-31,,
I,塞内加尔,25,马利克·迪乌夫,El Hadji Malick Diouf,中场,2004-12-28,,
I,塞内加尔,26,帕普·盖耶,Pape Gueye,中场,1999-1-24,,
I,塞内加尔,7,阿萨内·迪奥,Assane Diao Diaoune,前锋,2005-9-7,,
I,塞内加尔,9,班巴·迪昂,Bamba Dieng,前锋,2000-3-23,,
I,塞内加尔,10,马内,Sadio Mane,前锋,1992-4-10,,
I,塞内加尔,11,杰克逊,Nicolas Jackson,前锋,2001-6-20,,
I,塞内加尔,12,恩迪亚耶,Cherif Ndiaye,前锋,1996-1-23,,
I,塞内加尔,13,伊利曼·恩迪亚耶,Iliman Ndiaye,前锋,2000-3-6,,
I,塞内加尔,18,伊斯梅拉·萨尔,Ismaila Sarr,前锋,1998-2-25,,
I,塞内加尔,20,易卜拉欣·姆巴耶,Ibrahim Mbaye,前锋,2008-1-24,,
I,塞内加尔,1,迪乌夫,Yehvann Diouf,守门员,1999-11-16,,
I,塞内加尔,16,爱德华·门迪,Edouard Mendy,守门员,1992-3-1,,
I,塞内加尔,23,莫里·迪亚,Mory Diaw,守门员,1993-6-22,,
I,挪威,3,阿耶尔,Kristoffer Vassbakk Ajer,后卫,1998-4-17,,
I,挪威,4,利奥·厄斯蒂高,Leo Ostigard,后卫,1999-11-28,,
I,挪威,5,大卫·沃尔夫,David Moller Wolfe,后卫,2002-4-23,,
I,挪威,15,弗雷德里克·布尔坎,Fredrik Andre Bjorkan,后卫,1998-8-21,,
I,挪威,16,马库斯·佩德森,Marcus Holmgren Pedersen,后卫,2000-7-16,,
I,挪威,17,托尔霍恩·赫格姆,Torbjorn Lysaker Heggem,后卫,1999-1-12,,
I,挪威,24,桑德雷·朗格斯,Sondre Klingen Langas,后卫,2001-2-2,,
I,挪威,25,亨里克·法尔彻纳尔,Henrik Falchener,后卫,2003-5-8,,
I,挪威,26,瑞尔森,Julian Ryerson,后卫,1997-11-17,,
I,挪威,2,托尔斯比,Morten Thorsby,中场,1996-5-5,,
I,挪威,6,帕特里克·贝格,Patrick Berg,中场,1997-11-24,,
I,挪威,8,桑德尔·博格,Sander Berge,中场,1998-2-14,,
I,挪威,10,厄德高,Martin Odegaard,中场,1998-12-17,,
I,挪威,14,弗雷德里克·奥尔斯内斯,Fredrik Aursnes,中场,1995-12-10,,
I,挪威,18,克里斯蒂安·索尔茨维特,Kristian Thorstvedt,中场,1999-3-13,,
I,挪威,19,泰洛·阿斯高,Thelo Aasgaard,中场,2002-5-2,,
I,挪威,7,瑟洛特,Alexander Sorloth,前锋,1995-12-5,,
I,挪威,9,哈兰德,Erling Braut Haaland,前锋,2000-7-21,,
I,挪威,11,尤尔根·拉尔森,Jorgen Strand Larsen,前锋,2000-2-6,,
I,挪威,20,安东尼奥·努萨,Antonio Nusa,前锋,2005-4-17,,
I,挪威,21,谢尔德鲁普,Andreas Schjelderup,前锋,2004-6-1,,
I,挪威,22,奥斯卡·鲍勃,Oscar Bobb,前锋,2003-7-12,,
I,挪威,23,延斯·海于格,Jens Hauge,前锋,1999-10-12,,
I,挪威,1,尼兰,Orjan Haskjold Nyland,守门员,1990-9-10,,
I,挪威,12,桑德·唐维克,Sander Tangvik,守门员,2002-11-29,,
I,挪威,13,塞尔维克,Egil Selvik,守门员,1997-7-30,,
I,法国,2,马洛·古斯托,Malo Gusto,后卫,2003-5-19,,
I,法国,3,迪涅,Lucas Digne,后卫,1993-7-20,,
I,法国,4,于帕梅卡诺,Dayot Upamecano,后卫,1998-10-27,,
I,法国,5,孔德,Jules Kounde,后卫,1998-11-12,,
I,法国,15,科纳特,Ibrahima Konate,后卫,1999-5-25,,
I,法国,17,萨利巴,William Alain Andre Gabriel Saliba,后卫,2001-3-24,,
I,法国,19,特奥·埃尔南德斯,Theo Hernandez,后卫,1997-10-6,,
I,法国,21,卢卡斯·埃尔南德斯,Lucas Francois Bernard Hernandez,后卫,1996-2-14,,
I,法国,26,马克桑斯·拉克鲁瓦,Maxence Lacroix,后卫,2000-4-6,,
I,法国,6,夸迪奥·科内,Kouadio Kone,中场,2001-5-17,,
I,法国,8,琼阿梅尼,Aurelien Djani Tchouameni,中场,2000-1-27,,
I,法国,11,迈克尔·奥利塞,Michael Olise,中场,2001-12-12,,
I,法国,13,坎特,,中场,1991-3-29,,
I,法国,14,拉比奥特,Adrien Rabiot,中场,1995-4-3,,
I,法国,18,扎伊尔·埃梅里,,中场,2006-3-8,,
I,法国,25,阿克利乌什,Maghnes Akliouche,中场,2002-2-25,,
I,法国,7,登贝莱,Ousmane Dembele,前锋,1997-5-15,,
I,法国,9,马库斯·图拉姆,,前锋,1997-8-6,,
I,法国,10,姆巴佩,Kylian Mbappe Lottin,前锋,1998-12-20,,
I,法国,12,布拉德利·巴尔科拉,Bradley Barcola,前锋,2002-9-2,,
I,法国,20,德西雷·杜埃,Desire Doue,前锋,2005-6-3,,
I,法国,22,马特塔,,前锋,1997-6-28,,
I,法国,24,切尔基,Rayan Mathis Cherki,前锋,2003-8-17,,
I,法国,1,布莱斯·桑巴,Brice Samba,守门员,1994-4-25,,
I,法国,16,迈尼昂,Mike Maignan,守门员,1995-7-3,,
I,法国,23,罗宾·里塞,Robin Risser,守门员,2004-12-2,,
J,奥地利,2,阿芬格鲁贝尔,David Affengruber,后卫,2001-3-19,,
J,奥地利,3,丹索,Kevin Danso,后卫,1998-9-19,,
J,奥地利,5,斯特凡·波施,Stefan Posch,后卫,1997-5-14,,
J,奥地利,8,阿拉巴,David Alaba,后卫,1992-6-24,,
J,奥地利,15,菲利普·林哈特,Philipp Lienhart,后卫,1996-7-11,,
J,奥地利,16,菲利普·姆韦内,Phillipp Mwene,后卫,1994-1-29,,
J,奥地利,22,亚历山大·普拉斯,Alexander Prass,后卫,2001-5-26,,
J,奥地利,23,弗里德尔,Marco Friedl,后卫,1998-3-16,,
J,奥地利,25,迈克尔·斯沃博达,Michael Svoboda,后卫,1998-10-15,,
J,奥地利,,德扬·柳比契奇,Dejan Ljubicic,中场,1997-10-8,,
J,奥地利,4,施拉格尔,Xaver Schlager,中场,1997-9-28,,
J,奥地利,6,尼古拉斯·赛瓦尔德,Nicolas Seiwald,中场,2001-5-4,,
J,奥地利,9,马塞尔·萨比策,Marcel Sabitzer,中场,1994-3-17,,
J,奥地利,10,弗洛里安·格里利奇,Florian Grillitsch,中场,1995-8-7,,
J,奥地利,17,楚克乌梅卡,Carney Chukwuemeka,中场,2003-10-20,,
J,奥地利,18,罗曼诺·施密德,Romano Schmid,中场,2000-1-27,,
J,奥地利,20,康拉德·莱默尔,Konrad Laimer,中场,1997-5-27,,
J,奥地利,21,维默尔,Patrick Wimmer,中场,2001-5-30,,
J,奥地利,24,保罗·万纳,Paul Wanner,中场,2005-12-23,,
J,奥地利,26,舍普夫,Alessandro Schopf,中场,1994-2-7,,
J,奥地利,7,马尔科·阿瑙托维奇,Marko Arnautovic,前锋,1989-4-19,,
J,奥地利,11,迈克尔·格雷戈里奇,Michael Gregoritsch,前锋,1994-4-18,,
J,奥地利,14,卡莱季奇,Sasa Kalajdzic,前锋,1997-7-7,,
J,奥地利,1,亚历山大·施拉格尔,Alexander Schlager,守门员,1996-2-1,,
J,奥地利,12,弗洛里安·维格勒,Florian Wiegele,守门员,2001-3-21,,
J,奥地利,13,帕特里克·彭茨,Patrick Pentz,守门员,1997-1-2,,
J,约旦,2,阿布·哈希什,Mohammad Abu Hasheesh,后卫,1995-5-9,,
J,约旦,3,阿卜杜拉·纳西布,Abdallah Nasib,后卫,1994-2-25,,
J,约旦,4,阿布达哈伯,Husam Abu Dahab,后卫,2000-5-13,,
J,约旦,5,亚赞·阿拉伯,,后卫,1996-1-31,,
J,约旦,16,穆罕默德·阿布尔纳迪,Mohammad Abualnadi,后卫,2001-2-8,,
J,约旦,17,萨利姆·奥贝德,Saleem Obaid,后卫,1992-1-17,,
J,约旦,19,阿尔洛桑,,后卫,1997-2-1,,
J,约旦,20,阿布·塔哈,Mohannad Abu Taha,后卫,2003-3-2,,
J,约旦,23,埃森·哈达迪,Ehsan Manel Haddad,后卫,1994-2-5,,
J,约旦,26,阿纳斯·巴达维,Anas Badawi,后卫,1997-9-13,,
J,约旦,6,阿米尔·贾穆斯,Amer Jamous,中场,2002-7-3,,
J,约旦,8,拉瓦比德,,中场,1997-2-24,,
J,约旦,11,奥德·法胡里,,中场,2005-11-20,,
J,约旦,14,拉贾伊·阿伊德,Rajai Ayed Fadel Hassan,中场,1993-7-25,,
J,约旦,15,易卜拉辛·萨德哈,Ibrahim Mohammad Sami Sadeh,中场,2000-4-27,,
J,约旦,21,阿尔拉沙丹,Nizar Mahmoud Al Rashdan,中场,1999-3-23,,
J,约旦,25,穆罕默德·达沃德,Mohammad Al Dawoud,中场,1992-12-4,,
J,约旦,7,阿布·扎里克,Mohammad Abu Zreq,前锋,1997-12-30,,
J,约旦,9,阿里·奥尔万,Ali Iyad Ali Olwan,前锋,2000-3-26,,
J,约旦,10,穆萨·塔马里,Musa Al Taamari,前锋,1997-6-10,,
J,约旦,13,马赫默德·阿尔马迪,,前锋,1993-10-6,,
J,约旦,18,易卜拉欣·萨布拉,Ibrahim Sabra,前锋,2006-2-1,,
J,约旦,24,阿里·阿扎扎,,前锋,2004-4-13,,
